song_name,url,title,channel,duration,view_count,selection_score,selection_reason,video_id
倒影,https://www.youtube.com/watch?v=a0AyNzV3yk8,周杰倫 JAY CHOU【倒影 Reflection】Official MV,周杰倫 Jay Chou,234,9126152,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,a0AyNzV3yk8
傻笑,https://www.youtube.com/watch?v=rKFtivD7Rvw,周杰倫 Jay Chou【傻笑 Smile (feat. 袁詠琳 Cindy)】Official MV,周杰倫 Jay Chou,289,29144837,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,rKFtivD7Rvw
免費教學錄影帶,https://www.youtube.com/watch?v=lqVvHAFPIrw,周杰倫 Jay Chou【免費教學錄影帶 Free Tutorial Video】Official MV,周杰倫 Jay Chou,262,1076027,167,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,lqVvHAFPIrw
公主病,https://www.youtube.com/watch?v=S-p4gXbIifo,周杰倫 Jay Chou【公主病 Princess Syndrome】Official MV,周杰倫 Jay Chou,216,16895849,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,S-p4gXbIifo
公公偏頭痛,https://www.youtube.com/watch?v=FbqBv7Tz1QY,周杰倫 Jay Chou【公公偏頭痛 Eunuch with a Headache】Official MV,周杰倫 Jay Chou,186,24979360,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,FbqBv7Tz1QY
分裂,https://www.youtube.com/watch?v=eM6mF4RWhe0,周杰倫 Jay Chou【分裂 Split】Official MV,周杰倫 Jay Chou,269,8001842,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,eM6mF4RWhe0
前世情人,https://www.youtube.com/watch?v=j9k3liT2MLo,周杰倫 Jay Chou【前世情人 Lover From Previous Life】Official MV,周杰倫 Jay Chou,208,10712533,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,j9k3liT2MLo
千里之外,https://www.youtube.com/watch?v=ocDo3ySyHSI,周杰倫 Jay Chou【千里之外 Far Away (feat.費玉清 Fei Yu-ching)】-Official Music Video,周杰倫 Jay Chou,272,46935053,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,ocDo3ySyHSI
半島鐵盒,https://www.youtube.com/watch?v=duZDsG3tvoA,周杰倫 Jay Chou【半島鐵盒 Peninsula Ironbox】Official MV,周杰倫 Jay Chou,320,26594656,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,duZDsG3tvoA
半獸人,https://www.youtube.com/watch?v=3I27c6t-0No,周杰倫 Jay Chou【半獸人 Half-beast Human】Official MV,周杰倫 Jay Chou,248,5370252,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,3I27c6t-0No
印地安老斑鳩,https://www.youtube.com/watch?v=hnmWCmR6o7A,周杰倫 Jay Chou【印地安老斑鳩 Ancient Indian Turtledove】-Official Music Video,周杰倫 Jay Chou,306,2738849,173,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,hnmWCmR6o7A
即興曲,https://www.youtube.com/watch?v=yjYkxdXd7EA,周杰倫 JAY CHOU【即興曲 Improvisation】Official MV,周杰倫 Jay Chou,100,607151,164,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,yjYkxdXd7EA
反方向的鐘,https://www.youtube.com/watch?v=fuM1aVCGR8c,Jay Chou 周杰倫【反方向的鐘 Counter-clockwise Clock】-Official Music Video,周杰倫 Jay Chou,263,9074120,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,fuM1aVCGR8c
可愛女人,https://www.youtube.com/watch?v=87VUC4J_0Ps,周杰倫 Jay Chou【可愛女人 Cute Girl (feat.徐若瑄Vivian)】 -Official Music Video,周杰倫 Jay Chou,239,19905306,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,87VUC4J_0Ps
同一種調調,https://www.youtube.com/watch?v=D0x09XJgyO4,周杰倫 Jay Chou【同一種調調 Same Tone】 -Official Music Video,周杰倫 Jay Chou,234,1605868,169,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,D0x09XJgyO4
告白氣球,https://www.youtube.com/watch?v=bu7nU9Mhpyo,周杰倫 Jay Chou (特別演出: 派偉俊)【告白氣球 Love Confession】Official MV,周杰倫 Jay Chou,216,280657905,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,bu7nU9Mhpyo
周大俠,https://www.youtube.com/watch?v=EZxhW-uSN_I,Jay Chou 周杰倫【周大俠 Master Chou】-Official Music Video(電影「功夫灌籃」主題曲),周杰倫 Jay Chou,141,3127979,174,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,EZxhW-uSN_I
哪裡都是你,https://www.youtube.com/watch?v=yfn8sE9obWU,周杰倫 Jay Chou【哪裡都是你 You are everywhere】Official MV,周杰倫 Jay Chou,280,18613510,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,yfn8sE9obWU
喬克叔叔,https://www.youtube.com/watch?v=GKT_1DTa2as,周杰倫 Jay Chou【喬克叔叔 Uncle Joker】-Official Music Video,周杰倫 Jay Chou,253,2070199,171,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,GKT_1DTa2as
嘻哈空姐,https://www.youtube.com/watch?v=I1boAt2ChIs,周杰倫 Jay Chou【嘻哈空姐 Hip-hop Flight Attendant】Official MV,周杰倫 Jay Chou,170,1139681,167,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,I1boAt2ChIs
四季列車,https://www.youtube.com/watch?v=SnKAHq6O0Is,周杰倫 Jay Chou【四季列車 Four Seasons Train】Official MV,周杰倫 Jay Chou,158,807336,165,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,SnKAHq6O0Is
四面楚歌,https://www.youtube.com/watch?v=JljURsMOLmc,周杰倫 Jay Chou【四面楚歌 Surrounded】-Official Music Video,周杰倫 Jay Chou,253,7368960,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,JljURsMOLmc
回到過去,https://www.youtube.com/watch?v=MKNrnSsIwf8,周杰倫 Jay Chou【回到過去 Back to the Past】Official MV,周杰倫 Jay Chou,299,20524827,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,MKNrnSsIwf8
困獸之鬥,https://www.youtube.com/watch?v=pm91leB_P8c,周杰倫 Jay Chou【困獸之鬥 Struggle】-Official Music Video,周杰倫 Jay Chou,271,2116059,171,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,pm91leB_P8c
園遊會,https://www.youtube.com/watch?v=IoCoIxkGkVw,周杰倫 Jay Chou【園遊會 Fun Fair】-Official Music Video,周杰倫 Jay Chou,251,14842120,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,IoCoIxkGkVw
土耳其冰淇淋,https://www.youtube.com/watch?v=kOriLqPD7PI,周杰倫 Jay Chou (feat. 林書豪Jeremy Lin)【土耳其冰淇淋 Tu Er Qi Ice Cream】Official MV,周杰倫 Jay Chou,196,7289510,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,kOriLqPD7PI
外婆,https://www.youtube.com/watch?v=Ur-x4pZT1Rk,周杰倫 Jay Chou【外婆 Grandma】-Official Music Video,周杰倫 Jay Chou,250,8831955,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,Ur-x4pZT1Rk
夜曲,https://www.youtube.com/watch?v=6Q0Pd53mojY,周杰倫 Jay Chou【夜曲 Nocturne】-Official Music Video,周杰倫 Jay Chou,234,103977363,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,6Q0Pd53mojY
夜的第七章,https://www.youtube.com/watch?v=AdkkF6MT0R0,周杰倫 Jay Chou【夜的第七章 Chapter Seven】-Official Music Video,周杰倫 Jay Chou,229,16562212,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,AdkkF6MT0R0
夜的第七章電影版,https://www.youtube.com/watch?v=wTZrLNQ8WF8,周杰倫 Jay Chou【夜的第七章電影版 Chapter Seven】-Official Movie Version,周杰倫 Jay Chou,567,1138621,120,official-channel;song-length;views-tiebreaker,wTZrLNQ8WF8
夢想啟動,https://www.youtube.com/watch?v=5__rQ9efFQA,周杰倫 Jay Chou【夢想啟動 Dream】Official MV [4K],杰威爾歌詞MV頻道JVR Lyric MV,203,992,142,label-lyric-channel;official-mv;quality-marker;song-length;views-tiebreaker,5__rQ9efFQA
大笨鐘,https://www.youtube.com/watch?v=-u4sPnpaFEA,周杰倫 Jay Chou【大笨鐘 Big Ben】Official MV,周杰倫 Jay Chou,247,34411505,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,-u4sPnpaFEA
天地一鬥,https://www.youtube.com/watch?v=eaW0jUGaHe0,Jay Chou 周杰倫【天地一鬥 Spark 】-Official Music Video(ft. Kobe Bryant),周杰倫 Jay Chou,187,2136327,171,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,eaW0jUGaHe0
天地一鬥官方完整,https://www.youtube.com/watch?v=zVJN1maXgH4,"周杰倫+Kobe Bryant【天地一鬥 官方完整MV】Jay Chou ""Spark"" MV",周杰倫 Jay Chou,193,244611,114,official-channel;song-length;views-tiebreaker,zVJN1maXgH4
天涯過客,https://www.youtube.com/watch?v=-gJzlOJ0Zoo,周杰倫 Jay Chou【天涯過客 Passer-by】Official MV,周杰倫 Jay Chou,253,15368325,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,-gJzlOJ0Zoo
太陽之子,https://www.youtube.com/watch?v=Hgnpi3eBQ9o,Jay Chou 周杰倫【Children of the Sun 太陽之子】Official Music Video,周杰倫 Jay Chou,419,9858825,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,Hgnpi3eBQ9o
女兒殿下,https://www.youtube.com/watch?v=aGsrg1NO1cM,"Jay Chou 周杰倫【My Daughter, Your Highness女兒殿下】Official Music Video",周杰倫 Jay Chou,225,11109839,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,aGsrg1NO1cM
她的睫毛,https://www.youtube.com/watch?v=gqzlB7Gla2E,周杰倫 Jay Chou【她的睫毛 Her Eyelashes】-Official Music Video,周杰倫 Jay Chou,232,6046600,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,gqzlB7Gla2E
好久不見,https://www.youtube.com/watch?v=uAUBexRRFr0,周杰倫 Jay Chou【好久不見 Long Time No See】Official MV,周杰倫 Jay Chou,258,6420757,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,uAUBexRRFr0
妳聽得到,https://www.youtube.com/watch?v=kLY11fv7fUk,周杰倫 Jay Chou【妳聽得到 You Hear Me】-Official Music Video,周杰倫 Jay Chou,278,6480600,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,kLY11fv7fUk
威廉古堡,https://www.youtube.com/watch?v=lCzWCxVAkfc,周杰倫 Jay Chou【威廉古堡 William Castle】Official MV,周杰倫 Jay Chou,235,4306478,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,lCzWCxVAkfc
娘子,https://www.youtube.com/watch?v=MpP9dw_j2PI,周杰倫 Jay Chou【娘子 Wife】-Official Music Video,周杰倫 Jay Chou,272,3332413,175,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,MpP9dw_j2PI
安靜,https://www.youtube.com/watch?v=1hI-7vj2FhE,周杰倫 Jay Chou【安靜 Silence】Official MV,周杰倫 Jay Chou,332,63675992,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,1hI-7vj2FhE
完美主義,https://www.youtube.com/watch?v=gxZHH8x2zPg,周杰倫 Jay Chou【完美主義 Perfectionism】-Official Music Video,周杰倫 Jay Chou,245,3083312,174,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,gxZHH8x2zPg
將軍,https://www.youtube.com/watch?v=PaJdceSx4JA,周杰倫 Jay Chou【將軍 General】-Official Music Video,周杰倫 Jay Chou,212,3485368,175,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,PaJdceSx4JA
對不起,https://www.youtube.com/watch?v=N2DkKFxijv0,周杰倫 Jay Chou【對不起 Sorry】Official MV,周杰倫 Jay Chou,226,3661656,176,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,N2DkKFxijv0
帶我飛官方完整,https://www.youtube.com/watch?v=pAZjcx150Zc,"周杰倫+林志玲【帶我飛 官方完整MV】Jay Chou ""Fly Away"" MV",周杰倫 Jay Chou,265,452275,116,official-channel;song-length;views-tiebreaker,pAZjcx150Zc
床邊故事,https://www.youtube.com/watch?v=-7r6VqSllNg,周杰倫 Jay Chou【床邊故事 Bedtime Stories】Official MV,周杰倫 Jay Chou,229,13703786,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,-7r6VqSllNg
彩虹,https://www.youtube.com/watch?v=WxZvXPTBC0A,周杰倫 Jay Chou【彩虹 Rainbow】-Official Music Video,周杰倫 Jay Chou,273,33410389,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,WxZvXPTBC0A
心雨,https://www.youtube.com/watch?v=xVTI5eSzwzQ,周杰倫 Jay Chou【心雨 Rainy Mood】-Official Music Video,周杰倫 Jay Chou,268,11062382,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,xVTI5eSzwzQ
忍者,https://www.youtube.com/watch?v=55yJh4SHUBY,周杰倫 Jay Chou【忍者 Ninja】Official MV,周杰倫 Jay Chou,160,4594941,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,55yJh4SHUBY
怎麼了,https://www.youtube.com/watch?v=RcdscWaat_w,周杰倫 Jay Chou【怎麼了 What's Wrong (feat. 袁詠琳 Cindy)】Official MV,周杰倫 Jay Chou,233,16360022,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,RcdscWaat_w
愛你沒差,https://www.youtube.com/watch?v=miBGaUagOz8,"周杰倫 Jay Chou【愛你沒差 Love you, no matter what】Official MV",周杰倫 Jay Chou,286,40118219,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,miBGaUagOz8
愛在西元前,https://www.youtube.com/watch?v=5XK2C9w6oVk,周杰倫 Jay Chou【愛在西元前 Love before AD】Official MV,周杰倫 Jay Chou,239,25631471,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,5XK2C9w6oVk
愛情廢柴,https://www.youtube.com/watch?v=2kdYSeoHChg,周杰倫 Jay Chou【愛情廢柴 Failure at love】Official MV,周杰倫 Jay Chou,280,60958178,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,2kdYSeoHChg
愛情懸崖,https://www.youtube.com/watch?v=H5VQdhYh9rc,周杰倫 Jay Chou【愛情懸崖 Cliff】-Official Music Video,周杰倫 Jay Chou,270,3836628,176,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,H5VQdhYh9rc
愛琴海,https://www.youtube.com/watch?v=ZLldhJXp7iw,Jay Chou 周杰倫【Aegean Sea 愛琴海】Official Music Video,周杰倫 Jay Chou,217,8495743,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,ZLldhJXp7iw
愛的飛行日記,https://www.youtube.com/watch?v=odNYK272RtQ,周杰倫 Jay Chou【愛的飛行日記 Diary of Love (feat. 楊瑞代 Gary)】Official MV,周杰倫 Jay Chou,256,5283494,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,odNYK272RtQ
懦夫,https://www.youtube.com/watch?v=Xi_RBDWZaT0,周杰倫 Jay Chou【懦夫 Coward】-Official Music Video,周杰倫 Jay Chou,218,1613370,169,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,Xi_RBDWZaT0
我不配,https://www.youtube.com/watch?v=s-VFpsrbWLk,周杰倫 Jay Chou【我不配 Not Good Enough For You】-Official Music Video,周杰倫 Jay Chou,318,38257677,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,s-VFpsrbWLk
我是如此相信,https://www.youtube.com/watch?v=TbFWYT9VGRk,周杰倫 Jay Chou【我是如此相信 I Truly Believe】(電影天火主題曲) Official MV,周杰倫 Jay Chou,266,25067590,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,TbFWYT9VGRk
我的地盤,https://www.youtube.com/watch?v=RJerfq6MqY0,周杰倫 Jay Chou【我的地盤 My Territory】-Official Music Video,周杰倫 Jay Chou,251,2617728,173,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,RJerfq6MqY0
我落淚情緒零碎,https://www.youtube.com/watch?v=6d0v2InyN_w,周杰倫 Jay Chou【我落淚 情緒零碎 Tears of Scattered Emotion】Official MV,周杰倫 Jay Chou,257,14665023,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,6d0v2InyN_w
我要夏天,https://www.youtube.com/watch?v=3LFDEeLm0ss,周杰倫 Jay Chou【我要夏天 I Want Summer (feat. 楊瑞代 Gary)】Official MV,周杰倫 Jay Chou,230,7112702,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,3LFDEeLm0ss
手寫的從前,https://www.youtube.com/watch?v=TMB6-YflpA4,周杰倫 Jay Chou【手寫的從前 Handwritten Past】Official MV,周杰倫 Jay Chou,295,68489888,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,TMB6-YflpA4
手語,https://www.youtube.com/watch?v=ChXiROKng30,Jay Chou 周杰倫【手語 Sign Language】-Official Music Video,周杰倫 Jay Chou,296,6689796,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,ChXiROKng30
扯,https://www.youtube.com/watch?v=f5hakuX3lCA,周杰倫 Jay Chou【扯 Pull Apart】-Official Music Video,周杰倫 Jay Chou,198,1577459,169,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,f5hakuX3lCA
擱淺,https://www.youtube.com/watch?v=YJfHuATJYsQ,周杰倫 Jay Chou【擱淺 Step Aside】-Official Music Video,周杰倫 Jay Chou,269,81950660,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,YJfHuATJYsQ
斷了的弦,https://www.youtube.com/watch?v=n_KlMpP0vdw,周杰倫 Jay Chou【斷了的弦 Broken Strings】Official MV,周杰倫 Jay Chou,295,9955595,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,n_KlMpP0vdw
明明就,https://www.youtube.com/watch?v=UBySINroNkw,周杰倫 Jay Chou【明明就 Ming Ming Jiu】Official MV,周杰倫 Jay Chou,260,108573155,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,UBySINroNkw
星晴,https://www.youtube.com/watch?v=sTNJsIcPSvE,周杰倫 Jay Chou【星晴 Starry Mood】-Official Music Video,周杰倫 Jay Chou,258,12836296,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,sTNJsIcPSvE
時光機,https://www.youtube.com/watch?v=nCfrfCzaB2A,周杰倫 Jay Chou【時光機 Time Machine】-Official Music Video,周杰倫 Jay Chou,311,10144180,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,nCfrfCzaB2A
晴天,https://www.youtube.com/watch?v=DYptgVvkVLQ,周杰倫 Jay Chou【晴天 Sunny Day】-Official Music Video,周杰倫 Jay Chou,319,95236110,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,DYptgVvkVLQ
暗號,https://www.youtube.com/watch?v=CYT9DPJdtS4,周杰倫 Jay Chou【暗號 Secret Code】Official MV,周杰倫 Jay Chou,268,15927645,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,CYT9DPJdtS4
最偉大的作品,https://www.youtube.com/watch?v=1emA1EFsPMM,周杰倫 Jay Chou【最偉大的作品 Greatest Works of Art】Official MV,周杰倫 Jay Chou,306,31631191,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,1emA1EFsPMM
最後的戰役,https://www.youtube.com/watch?v=ZcShYmOhHM0,周杰倫 Jay Chou【最後的戰役 The Final Battle】Official MV,周杰倫 Jay Chou,344,5417175,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,ZcShYmOhHM0
最長的電影,https://www.youtube.com/watch?v=2zxc27bvrO8,周杰倫 Jay Chou【最長的電影 The Longest Movie】-Official Music Video,周杰倫 Jay Chou,238,42332359,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,2zxc27bvrO8
本草綱目,https://www.youtube.com/watch?v=8CD06hC1KGU,周杰倫 Jay Chou【本草綱目Chinese Herbal Manual】-Official Music Video,周杰倫 Jay Chou,228,14245321,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,8CD06hC1KGU
東風破,https://www.youtube.com/watch?v=qct0JLjaHDc,周杰倫 Jay Chou【東風破 Dong-Feng-Po】-Official Music Video,周杰倫 Jay Chou,314,19555931,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,qct0JLjaHDc
梯田,https://www.youtube.com/watch?v=u9J99gB5psc,周杰倫 Jay Chou【梯田 Terrace Field】-Official Music Video,周杰倫 Jay Chou,209,2011039,171,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,u9J99gB5psc
楓,https://www.youtube.com/watch?v=qzwsQTY-99o,周杰倫 Jay Chou【楓Maple Leaf 】-Official Music Video,周杰倫 Jay Chou,286,83111300,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,qzwsQTY-99o
止戰之殤,https://www.youtube.com/watch?v=qIZ5MAwbeCg,周杰倫 Jay Chou【止戰之殤 Wounds of War】-Official Music Video,周杰倫 Jay Chou,278,18969886,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,qIZ5MAwbeCg
比較大的大提琴,https://www.youtube.com/watch?v=P_XikgjUOS0,周杰倫 Jay Chou【比較大的大提琴 A Larger Cello】Official MV,周杰倫 Jay Chou,273,4429758,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,P_XikgjUOS0
水手怕水,https://www.youtube.com/watch?v=wUJ37I6au2w,周杰倫 Jay Chou【水手怕水 Sailor Afraid of Water】Official MV,周杰倫 Jay Chou,173,6083808,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,wUJ37I6au2w
流浪詩人,https://www.youtube.com/watch?v=-ytYpXm3cv0,周杰倫 Jay Chou【流浪詩人 Drifting Poet】-Official Music Video,周杰倫 Jay Chou,172,1313367,168,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,-ytYpXm3cv0
浪漫手機,https://www.youtube.com/watch?v=Kbvu9Vt5_eE,周杰倫 Jay Chou【浪漫手機 Romantic Cellphone】-Official Music Video,周杰倫 Jay Chou,280,8158833,177,official-channel;official-mv;quality-marker;song-length;views-tiebreaker,Kbvu9Vt5_eE
